Timestamp,Temperature,Humidity,Door,Door_Duration,Cooling_Status,Outside_Temperature,Temp_Trend,Load_Level,Risk
2026-04-08 06:28:33.590689,7.14,89,0,2,1,29.63,0,0,0
2026-04-09 23:11:33.590689,11.91,89.28,0,1,1,29.89,-1,0,1
2026-04-09 01:41:33.590689,7.42,90,0,0,1,28.69,-1,0,0
2026-04-08 04:19:33.590689,4.3,90,0,0,1,27.52,0,0,0
2026-04-10 05:49:33.590689,7.29,90,0,0,1,29.67,0,0,0
2026-04-08 19:08:33.590689,7.73,88.78,0,0,1,25.44,0,0,0
2026-04-10 10:56:33.590689,10.64,87.77,0,0,1,35.04,0,0,1
2026-04-08 14:56:33.590689,11.23,89.51,0,0,1,33.68,1,0,1
2026-04-07 16:45:33.590689,14.59,88.87,0,0,1,37.34,0,0,1
2026-04-08 07:10:33.590689,8.34,88.36,0,1,1,26.71,0,0,1
2026-04-09 02:02:33.590689,7.95,90,0,2,1,26.2,0,0,0
2026-04-07 12:10:33.590689,7.04,64.82,0,0,1,31.35,0,0,0
2026-04-08 23:37:33.590689,5.27,86.54,1,1,1,25.04,0,0,0
2026-04-08 23:32:33.590689,5.74,85.12,0,0,1,27.7,-1,0,0
2026-04-09 07:29:33.590689,8.48,87.99,0,0,1,27.38,0,0,1
2026-04-07 18:47:33.590689,5.56,86.83,0,0,1,24.31,0,0,0
2026-04-07 21:54:33.590689,12.26,89.34,0,0,1,25.24,-1,0,1
2026-04-08 22:56:33.590689,2.84,87.78,0,0,1,24.48,-1,0,0
2026-04-08 14:20:33.590689,12.83,89.7,0,0,1,36.94,0,0,1
2026-04-10 14:08:33.590689,13.73,88.98,0,1,1,34.33,-1,0,1
2026-04-09 00:12:33.590689,8.95,88.55,0,0,1,28.05,0,0,1
2026-04-09 19:07:33.590689,5.31,89.84,0,0,1,29.1,0,0,0
2026-04-07 15:10:33.590689,11.59,83.05,0,0,1,31.23,-1,0,1
2026-04-09 21:09:33.590689,6.79,89.63,0,0,1,26.27,-1,0,0
2026-04-07 19:47:33.590689,7.28,88.93,0,0,1,25.81,-1,0,0
2026-04-10 17:14:33.590689,14.95,90,0,3,1,36.31,0,0,1
2026-04-10 04:21:33.590689,12.4,90,0,0,1,28.44,0,0,1
2026-04-09 03:15:33.590689,10.48,87.44,0,0,1,26.59,0,0,1
2026-04-08 00:29:33.590689,3.37,85.1,0,0,1,26.36,-1,0,0
2026-04-07 23:48:33.590689,7.56,86.63,0,0,1,26.94,-1,0,0
2026-04-10 18:33:33.590689,8.05,88.96,0,0,1,29.81,-1,0,1
2026-04-10 03:30:33.590689,14.59,90,0,0,1,27.25,-1,0,1
2026-04-09 02:47:33.590689,6.6,90,0,0,1,24.33,0,0,0
2026-04-07 20:42:33.590689,5.87,89.38,0,1,1,26.99,0,0,0
2026-04-08 04:23:33.590689,4.63,89.45,0,3,1,24.01,0,0,0
2026-04-08 03:49:33.590689,4.75,86.69,0,0,1,29.1,0,0,0
2026-04-08 18:27:33.590689,9.01,85.6,0,0,1,28.52,-1,0,1
2026-04-07 23:36:33.590689,10.31,90,1,2,1,24.46,0,0,1
2026-04-09 06:10:33.590689,5.63,88.15,0,0,0,27.73,1,0,0
2026-04-08 17:07:33.590689,12.63,89.27,0,1,1,30.63,0,0,1
2026-04-10 06:11:33.590689,11.35,90,1,4,1,28.61,0,0,1
2026-04-08 15:17:33.590689,12.48,88.52,0,0,1,30.79,0,0,1
2026-04-07 23:37:33.590689,10.19,90,0,1,1,24.91,0,0,1
2026-04-08 23:26:33.590689,7.3,88.31,0,0,1,25.48,0,0,0
2026-04-08 05:11:33.590689,8.4,85.73,0,0,0,25.28,1,0,1
2026-04-07 14:26:33.590689,10.6,83.69,0,0,1,35.02,0,0,1
2026-04-09 12:05:33.590689,9.69,90,0,0,1,37.37,0,0,1
2026-04-10 18:29:33.590689,9.06,90,0,3,1,27.13,0,0,1
2026-04-07 13:05:33.590689,15,73.95,0,0,1,32.43,0,0,1
2026-04-10 08:04:33.590689,3.07,89.45,0,0,1,26.51,0,0,0
2026-04-07 15:23:33.590689,11.31,86.41,0,0,1,36.91,0,0,1
2026-04-07 13:16:33.590689,13.09,72.87,0,0,1,31.01,0,0,1
2026-04-08 06:17:33.590689,7.23,89.24,0,0,1,25.8,0,0,0
2026-04-08 10:57:33.590689,9.5,90,0,0,1,36.13,-1,0,1
2026-04-08 03:39:33.590689,7.08,88.5,0,0,1,25.83,-1,0,0
2026-04-09 22:04:33.590689,10.62,90,0,0,1,25.86,0,0,1
2026-04-08 18:52:33.590689,7.86,89.15,0,0,1,28.23,0,0,0
2026-04-09 16:51:33.590689,14.52,89.26,0,0,1,36.94,-1,0,1
2026-04-10 13:54:33.590689,13.31,89.44,1,2,1,33.41,1,0,1
